N,P,K,temperature,humidity,ph,rainfall,label
72.0,45.0,35.0,25.42977518,82.94682591,5.758506323,195.3574542,rice
61.0,53.0,43.0,26.40323239,81.05635517,6.349606327,223.3671883,rice
67.0,43.0,39.0,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
67.0,58.0,39.0,25.2827223,80.54372813,5.453592032,220.1156708,rice
66.0,60.0,38.0,22.08576562,83.47038318,6.372576327000001,231.7364957,rice
82.0,43.0,38.0,23.28617173,81.43321641,5.105588355,242.3170629,rice
84.0,50.0,44.0,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice
81.0,53.0,42.0,23.67575393,81.03569343,5.17782304,233.7034975,rice
91.0,50.0,40.0,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice
93.0,53.0,38.0,26.92995077,81.91411159,7.069172227,290.67937830000005,rice
90.0,44.0,38.0,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
81.0,45.0,35.0,26.52872817,80.12267476,6.158376967000001,218.9163567,rice
78.0,40.0,38.0,26.46428311,83.85642678,7.549873681,248.2256491,rice
60.0,51.0,36.0,22.69657794,82.81088865,6.028321557999999,256.9964761,rice
88.0,46.0,42.0,22.68319059,83.46358271,6.604993475,194.2651719,rice
93.0,47.0,37.0,21.53346343,82.14004101,6.500343222000001,295.9248796,rice
60.0,55.0,45.0,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice
78.0,35.0,44.0,26.54348085,84.67353597,7.072655622,183.6222657,rice
65.0,37.0,40.0,23.35905428,83.59512273,5.333322606,188.413665,rice
90.0,42.0,43.0,20.83811933787064,81.86948725649908,6.58778716566033,202.8675021058388,rice
85.0,58.0,41.0,21.703474362277415,80.46257670597272,6.980294873745315,226.63633400139415,rice
60.0,55.0,44.0,23.058469563370373,82.45224634639342,7.862638249369497,263.873038522587,rice
74.0,35.0,40.0,26.56174560608759,80.15208466450657,6.795032203643388,242.738626546773,rice
78.0,42.0,42.0,20.133435746503586,81.85065079538768,7.450245632352089,262.7016293852857,rice
69.0,37.0,42.0,23.198729556632266,83.49128579043989,7.032576310238548,251.09999837634726,rice
69.0,55.0,38.0,22.75315300337059,82.66427679196232,5.700535219613164,271.4537722878176,rice
94.0,53.0,40.0,20.27812331826745,82.81799346721584,5.93797344749272,241.8993693362563,rice
89.0,54.0,38.0,24.445996583870425,83.63329880993075,6.744006432345784,230.42825029159445,rice
68.0,58.0,38.0,23.34788230390874,83.0055424691741,6.268063572496246,221.20208223778758,rice
91.0,53.0,40.0,26.454649674757707,81.3138448638207,5.6188723944551855,264.586441244925,rice
90.0,46.0,42.0,24.034520116539465,81.44006204199238,7.523457073610018,250.14468402673552,rice
78.0,58.0,44.0,26.880319406027397,80.90246533282374,5.108827142074062,284.3490877864146,rice
93.0,56.0,36.0,23.77916934301773,81.9267512764771,6.840247745713457,185.45596408832583,rice
94.0,50.0,37.0,25.563587741373816,80.68797665515858,7.036800020320519,209.62964995966956,rice
60.0,48.0,39.0,24.31070550509691,80.34238496260781,6.8547617561596965,231.15541869461194,rice
85.0,38.0,41.0,21.684044156448895,82.83673094619839,6.210048200543423,276.8062321640598,rice
91.0,35.0,39.0,23.635118721301865,80.27338802321161,6.87113345163433,206.35871492724496,rice
77.0,38.0,36.0,21.933703996293602,80.31945106644744,5.94996113017535,224.57848128491062,rice
88.0,35.0,40.0,23.68252134724006,83.71998093019624,5.676329962366559,291.4223607725848,rice
89.0,45.0,36.0,21.21622018664178,80.5215203601711,6.254807722693563,185.66105896009554,rice
76.0,40.0,43.0,25.09747236047991,83.41322828606197,5.134097813681105,231.37705085451597,rice
67.0,59.0,41.0,22.00120162455809,80.86142426435033,6.021466990437674,213.3420640357048,rice
83.0,41.0,43.0,20.898974894044986,82.82685394051377,6.274761148172951,233.31212752802554,rice
98.0,47.0,37.0,23.42956256938794,81.39319704866182,7.429065202915832,224.12214765731778,rice
66.0,53.0,41.0,25.17799235078058,80.64274810242087,7.7041748187049786,256.93782357589225,rice
97.0,59.0,43.0,26.25063511298733,84.06343511400335,6.3785682263835515,271.3976770102887,rice
97.0,50.0,41.0,24.555364267428143,80.57661372106637,7.265585013338252,260.2687901990487,rice
60.0,49.0,44.0,20.667540023048083,84.61370214471982,6.406564366571116,240.1822093183313,rice
84.0,51.0,35.0,22.22532970419589,80.563137997764,5.900733275039257,197.9667396226637,rice
73.0,57.0,41.0,21.507312550482617,84.70917262136966,5.831084036107758,272.2738499866675,rice
92.0,35.0,40.0,22.187892726472196,80.40418637424729,6.443639077831112,199.97782227295602,rice
85.0,37.0,39.0,24.72852353027428,82.7310861536908,6.326769585041522,224.6850479421408,rice
98.0,53.0,38.0,20.344212589028068,81.65929667888646,4.7736081782403526,270.57127802660375,rice
88.0,54.0,44.0,25.683767968777495,83.79970740380078,6.135171026683812,233.10388757258136,rice
95.0,55.0,42.0,26.432229978354535,82.03549325027069,5.684259014087389,193.19050659861017,rice
99.0,57.0,35.0,26.61969994910166,81.08756864578996,6.202240373643012,272.2625402414253,rice
95.0,39.0,36.0,23.95691416682634,83.06813692947509,5.59997348131724,285.264917759839,rice
60.0,43.0,44.0,21.00910568694121,82.94509101183887,7.32264038093122,298.5030205993868,rice
63.0,44.0,41.0,24.121343577583882,83.75568377967845,5.8005028900539255,257.0867991718908,rice
62.0,42.0,36.0,22.79360133770268,82.03007455248655,6.282132885551495,248.49936312627617,rice
64.0,45.0,43.0,25.464753195091784,83.4726366418555,5.468127387984806,210.11408523501257,rice
83.0,60.0,36.0,25.44438232520654,79.9786567389956,6.888398662754353,200.82087496572257,rice
82.0,40.0,40.0,23.783401834654775,84.89073512945623,6.364582504142188,298.3994159837602,rice
85.0,52.0,45.0,26.33328229129946,82.4115611437713,7.221497652503331,265.6615783059268,rice
91.0,35.0,38.0,24.75174354279169,80.44550299223464,6.060125929877597,183.73132221111226,rice
76.0,49.0,42.0,24.85881554464899,84.51609220042612,5.197791102587467,197.07276299323007,rice
74.0,39.0,38.0,23.391545162819263,84.61118226367833,7.888221056669721,232.93770281033218,rice
79.0,43.0,39.0,21.63111179526694,80.6970495549151,7.035633072001667,210.85011397574357,rice
88.0,55.0,45.0,24.59751479137178,80.47475177163707,7.814026177201997,253.67195822435005,rice
60.0,36.0,43.0,23.65316204588555,83.27647659696018,5.3848982829270104,220.01118128178925,rice
76.0,60.0,39.0,20.3405776967897,80.2228119666751,6.7170931991742036,208.6045040840668,rice
93.0,56.0,42.0,23.94917902636432,82.05704171485367,7.4193535537435364,195.15837288267474,rice
65.0,60.0,43.0,21.83088448989456,81.87992561149585,5.561882648993818,227.34849775944642,rice
95.0,52.0,36.0,26.039252927259614,83.83295117010839,5.318466931749737,286.54333321534733,rice
75.0,38.0,39.0,23.55727433948847,84.63722214011096,6.196482873832183,283.9207428881607,rice
74.0,54.0,38.0,25.68362450881925,83.6343434623836,7.118006497386111,217.26473651536733,rice
91.0,36.0,45.0,24.435003804883163,82.4804330489908,5.929246805432642,268.1076411856619,rice
71.0,46.0,40.0,20.254889399316205,82.11935852668377,7.443351845559531,192.0179596384151,rice
99.0,55.0,35.0,21.636111918509975,80.25678457097023,6.476668970485917,278.0395777638946,rice
72.0,40.0,38.0,20.376559526337537,82.31000902257668,7.573461145761619,245.0525180139437,rice
83.0,58.0,45.0,25.660905337600937,83.62499667979613,5.843945217037914,245.78078401197706,rice
93.0,58.0,38.0,20.572678324109006,83.917639901626,6.983013131828877,279.4790521288439,rice
70.0,36.0,42.0,21.83377124710843,80.52979965436819,7.24803937874778,202.28659962498935,rice
76.0,47.0,42.0,20.161818144824288,83.32159342296899,5.66602028354885,263.750500266329,rice
99.0,41.0,36.0,24.447654161905334,82.86011735089637,6.777654306390261,182.62632994885755,rice
99.0,54.0,37.0,21.188162710397954,80.38836195415654,5.5169595763470864,198.76335157978522,rice
86.0,59.0,35.0,25.874076969908423,81.8093878578639,6.844165387357712,243.42093349790443,rice
69.0,46.0,41.0,23.680876972427487,80.20778700221284,4.966882851023174,263.08006969337004,rice
91.0,56.0,37.0,23.495977500368294,80.54252142449494,6.420445639802036,269.428329057801,rice
61.0,52.0,41.0,24.925159879300168,83.90042942284903,6.736013413966022,204.88790405389236,rice
67.0,45.0,38.0,22.672421020215335,82.14306208679857,7.304333392936826,260.8348201648711,rice
79.0,42.0,37.0,24.83634602862118,82.70872258119611,6.429957960732824,295.4821524944062,rice
78.0,43.0,42.0,21.335434591148918,83.18474477686493,7.390209920268274,192.48788732966682,rice
75.0,54.0,36.0,26.409911292278306,84.40677659306107,6.968166050286892,257.5019683379228,rice
97.0,36.0,45.0,22.209669893505268,81.97367416936122,6.932005045321475,278.049161991308,rice
67.0,47.0,44.0,26.78446087114701,81.75803483721171,7.646641913352916,280.3488008624733,rice
73.0,35.0,38.0,25.19541346165716,82.07268648031247,4.849613625653312,185.97824366983977,rice
77.0,36.0,37.0,26.891058448210828,81.44013897074332,6.088898967182673,194.66455982816666,rice
81.0,41.0,38.0,22.711923969432487,83.75827451912136,7.265274648129897,200.76651268288603,rice
68.0,57.0,43.0,26.24523911809352,80.28353697679971,5.61914675481389,182.8279409456968,rice
72.0,45.0,35.0,25.268353543544933,82.99232573308117,5.673684007330951,195.31492328723257,rice
61.0,53.0,43.0,26.374486846299764,81.15455586054715,6.302365973470045,223.3822639972766,rice
67.0,43.0,39.0,25.946150723579866,85.00148560469465,5.887371916372186,186.5434842213655,rice
67.0,58.0,39.0,25.2287200295093,80.48355182144137,5.315240146195172,220.21463494423014,rice
66.0,60.0,38.0,22.234892307160152,83.39388095744688,6.543104051071582,231.85550037005908,rice
82.0,43.0,38.0,23.127028634055588,81.57511898172208,5.236836974628631,242.23771517424467,rice
84.0,50.0,44.0,25.389364023121676,81.27977194617431,6.022079525249454,182.7441118809517,rice
81.0,53.0,42.0,23.76317453582592,81.14689363575978,5.260472366882462,233.79172273444223,rice
91.0,50.0,40.0,20.83477147228558,83.91215720430698,6.466547256882087,230.16465299391083,rice
93.0,53.0,38.0,26.993646901045157,81.83960988021582,7.094702850604198,290.67770518050656,rice
90.0,44.0,38.0,23.55211653341486,83.86242651372146,7.474734271269363,241.18358465218748,rice
81.0,45.0,35.0,26.402626081977868,79.86744532528678,6.233805958320016,218.9891242818215,rice
78.0,40.0,38.0,26.572768874592043,84.0598300654492,7.4800862371356684,248.17608465103348,rice
60.0,51.0,36.0,22.771909556876125,82.93957802217658,5.949850702981996,256.9770543394679,rice
88.0,46.0,42.0,22.747739625731256,83.38408562385301,6.539905648199497,194.26746828668135,rice
93.0,47.0,37.0,21.574438649957845,82.000704983675,6.441511116591818,295.89608511473807,rice
60.0,55.0,45.0,21.51152426056393,83.14679008161404,6.021913326289942,287.603369554409,rice
78.0,35.0,44.0,26.324781508547336,84.71194840461699,6.908138862767557,183.57946072327863,rice
65.0,37.0,40.0,23.311325018697694,83.54754164659306,5.1666305327557245,188.53357345038847,rice
90.0,42.0,43.0,20.967907819385605,82.0084584221215,6.5687122543678225,203.05469632390626,rice
85.0,58.0,41.0,21.850180186717918,80.24710781997028,7.162921665789936,226.51011966941275,rice
60.0,55.0,44.0,22.7441378840742,82.43485053837325,7.901894165228952,263.8982545993304,rice
74.0,35.0,40.0,26.577805599308423,80.14501428504694,6.888988887291483,242.98960549240738,rice
78.0,42.0,42.0,20.042447758285405,81.59584037579498,7.508693760811126,262.8036240257855,rice
69.0,37.0,42.0,23.180646139914472,83.26759372558173,7.114333825352736,250.99860060154114,rice
69.0,55.0,38.0,22.75475828061854,82.60847792243038,5.853477366255652,271.32445155069036,rice
94.0,53.0,40.0,20.184976868214793,82.94068893099198,5.7873011352942445,241.89545595934698,rice
89.0,54.0,38.0,24.514074842641655,83.60499418071534,6.670749163141196,230.6115107236176,rice
68.0,58.0,38.0,23.060775868220947,83.06785678979587,6.41058954409198,221.26465395786045,rice
91.0,53.0,40.0,26.40480737550788,81.3970553076142,5.3846115766406495,264.5818361281031,rice
90.0,46.0,42.0,24.035270114105792,81.46925724758083,7.513110904175949,250.0468082199183,rice
78.0,58.0,44.0,26.601785626861346,81.06099015400214,4.912867343242041,284.25712955717927,rice
93.0,56.0,36.0,24.113555321399314,82.07947452811145,6.771287605886157,185.17083057311743,rice
94.0,50.0,37.0,25.624077771058346,80.62287479164195,6.712865675141908,209.63914403326382,rice
60.0,48.0,39.0,24.40860668854521,80.23160769242746,6.822999668728499,231.14517121899829,rice
85.0,38.0,41.0,21.64752705418108,82.89014458512104,6.122674430936505,276.7605695690968,rice
91.0,35.0,39.0,23.69958049324738,80.5955294375278,7.052103630784784,205.92873419950132,rice
77.0,38.0,36.0,21.894400236486995,80.11144484583389,5.938653402143515,224.60066225374536,rice
88.0,35.0,40.0,23.778002692561476,83.74247062927509,5.83881454254953,291.1294456672556,rice
89.0,45.0,36.0,21.330139475480333,80.64804501897044,6.437021359249291,185.33095484587912,rice
76.0,40.0,43.0,25.270524474823148,83.14182401077176,4.9567574274569886,231.3843588883535,rice
67.0,59.0,41.0,21.88220179905692,80.84436963400908,6.127650514481453,213.2806411218271,rice
83.0,41.0,43.0,21.11385882939539,82.76105349936763,6.135454778660823,232.8390136385887,rice
98.0,47.0,37.0,23.348747073054287,81.1768154324928,7.265244996381648,224.0432169109875,rice
66.0,53.0,41.0,24.90548571561047,80.51780625106413,7.7366155122772575,257.0110657223577,rice
97.0,59.0,43.0,26.482347360531694,83.9806019911608,6.2293678555164105,271.3743789801705,rice
97.0,50.0,41.0,24.393492936541687,80.43655603951126,7.103017148548827,260.17202870742426,rice
60.0,49.0,44.0,20.67813339897624,84.50409668882554,6.3569336807668675,240.12547745868466,rice
84.0,51.0,35.0,22.503412555058446,80.67117566366704,6.172839227948624,198.03267498543437,rice
73.0,57.0,41.0,21.512470317843587,84.90459936290118,5.836169970010069,272.2312549820751,rice
92.0,35.0,40.0,22.31927815484053,80.27741689462152,6.227017685527481,200.13634271334624,rice
85.0,37.0,39.0,24.551461101179704,82.76027981556759,6.46718423534485,224.36909857322777,rice
98.0,53.0,38.0,20.29979702516408,81.57721121652467,5.067171629456358,270.2438596063788,rice
88.0,54.0,44.0,25.761910579167026,83.86021424979167,6.006428642802205,233.260348454677,rice
95.0,55.0,42.0,26.991958267148394,82.05410559705719,5.983799586577137,193.2913145000238,rice
99.0,57.0,35.0,26.745394612894334,81.12776076388488,5.831355712602343,272.43528960624445,rice
95.0,39.0,36.0,23.80954544373052,82.99566319823906,5.6703682129811845,285.21278671989467,rice
60.0,43.0,44.0,21.09772054979863,83.05381276229016,7.385694555132345,298.2975874216003,rice
63.0,44.0,41.0,24.26546077436485,83.77828778384584,5.629045395957095,257.134047046623,rice
62.0,42.0,36.0,22.80736403728069,82.10647068710658,6.349195234406125,248.71761542436838,rice
64.0,45.0,43.0,25.655838706981204,83.62217722429176,5.5112739541542615,209.95874661879174,rice
83.0,60.0,36.0,25.753577422110325,80.05658161004953,6.780076578620687,200.960410395001,rice
82.0,40.0,40.0,23.770278573212373,84.86363715442712,6.295986332374096,298.6514119670014,rice
85.0,52.0,45.0,26.303916282193235,82.33307800577293,7.34357814432998,265.6248334799581,rice
91.0,35.0,38.0,24.869503943040097,80.62919401674594,6.045431495214836,183.458811142657,rice
76.0,49.0,42.0,24.846955155405144,84.66500253994744,5.257941946467594,196.95583043882334,rice
74.0,39.0,38.0,23.300219858832055,84.57235836106899,7.914600975395666,233.1214916997739,rice
79.0,43.0,39.0,21.689548688234034,80.50567568621383,7.233315101202111,210.83169198348585,rice
88.0,55.0,45.0,24.637942849696927,80.49331747939286,7.718002343681192,253.8111525368826,rice
60.0,36.0,43.0,23.2853310337324,83.12675409244957,5.3704781273383055,219.83954870441426,rice
76.0,60.0,39.0,20.13089964942532,80.31386256308807,6.6678178669399895,208.54726476622932,rice
93.0,56.0,42.0,23.993382090380038,82.23844087621063,7.364234018163717,195.06144423249273,rice
65.0,60.0,43.0,21.96435701446274,82.02308025676011,5.57281541312181,227.302122044165,rice
95.0,52.0,36.0,26.176289556780894,83.77144399184462,5.552825883941138,286.50787291326156,rice
75.0,38.0,39.0,23.55589449272027,84.6417641578536,6.200253747304804,284.2781020802717,rice
74.0,54.0,38.0,25.638254190899115,83.48925451945317,7.089655880156841,217.32568220512917,rice
91.0,36.0,45.0,24.521224709762432,82.36204398849365,6.012749796432806,267.83147007066367,rice
71.0,46.0,40.0,20.32165954541888,81.9873754051658,7.079301708838028,192.0552919487588,rice
99.0,55.0,35.0,21.796167276320414,80.28108960857699,6.477092470632074,278.0135048488809,rice
72.0,40.0,38.0,20.307970339692336,82.03027473050517,7.660162073370185,245.26252132078884,rice
83.0,58.0,45.0,25.790956597390014,83.59588955337496,5.717678829629001,245.72167879754082,rice
93.0,58.0,38.0,20.4599991192823,83.85316461493423,6.740585536178365,279.5262609298766,rice
70.0,36.0,42.0,21.975705314692444,80.63893256214529,6.941613940286038,202.34690589314843,rice
76.0,47.0,42.0,20.063278610798783,83.2792732823625,5.83025717453151,263.5198542250262,rice
99.0,41.0,36.0,24.414747005352233,82.76026834358206,6.8001071467174645,182.69222611691634,rice
99.0,54.0,37.0,21.058006849278275,80.22602646343235,5.701615427528676,198.49168440067334,rice
86.0,59.0,35.0,25.693509737883964,82.32301691386589,6.951789467761426,243.3730410976328,rice
69.0,46.0,41.0,23.53655058339297,80.41327783235928,4.802561914500231,263.21301568568146,rice
91.0,56.0,37.0,23.699010454884814,80.66504942295518,6.411749503391114,269.53952783981026,rice
61.0,52.0,41.0,24.97642373228501,83.95049971653172,6.8891269012861285,204.73243578819063,rice
67.0,45.0,38.0,22.88045697559727,82.32005854484433,7.318719796773227,260.90304011167234,rice
79.0,42.0,37.0,24.887505793356834,82.8510958161305,6.687496935726371,295.6200425739194,rice
78.0,43.0,42.0,21.361814971074917,82.89470889902366,7.202033412063789,192.43147570864565,rice
75.0,54.0,36.0,26.134703234823515,84.4036581091006,7.001373210055902,257.42293312229424,rice
97.0,36.0,45.0,22.20365707785956,81.86990869124075,6.800485301624445,278.0881876646393,rice
67.0,47.0,44.0,26.892923988861224,81.75468576271288,7.893144791459463,280.5463851213063,rice
73.0,35.0,38.0,24.722090203609433,82.07808591159798,5.054432288258691,185.97432192908295,rice
77.0,36.0,37.0,26.87659968075813,81.39354148161704,6.135916533562049,194.44308271944297,rice
81.0,41.0,38.0,22.691793049591297,83.83406961957026,7.533247201057147,200.82258822448398,rice
68.0,57.0,43.0,26.000572894751194,80.26610683474107,5.7189205078830705,182.84313355009883,rice
72.0,45.0,35.0,25.47684771187378,82.96728303720191,5.744599505274668,195.32262774425234,rice
61.0,53.0,43.0,26.503607302819628,81.03825180082686,6.383294869523249,223.38524652636102,rice
67.0,43.0,39.0,26.02108028770464,84.92594113957459,6.058083703695487,186.89173249346334,rice
67.0,58.0,39.0,25.28893826645404,80.53032497318885,5.346694980496555,220.12768446640658,rice
66.0,60.0,38.0,22.170472843616707,83.61400686446775,6.404085476816181,231.5268175653456,rice
82.0,43.0,38.0,23.17433974150667,81.25466129924872,5.09953362577049,242.27925048676218,rice
84.0,50.0,44.0,25.350556727652673,81.39972725478016,6.105928647788559,182.7953084784835,rice
81.0,53.0,42.0,23.734257447695107,80.92989993995354,5.177462450173024,233.66264822264276,rice
91.0,50.0,40.0,20.781022020287196,84.01530514092426,6.2530388644121615,230.3262604628246,rice
93.0,53.0,38.0,26.916816320502985,81.74627465719868,7.084141563684013,290.64194789752355,rice
90.0,44.0,38.0,23.905526855634587,84.00438869401457,7.598056457347108,241.20142351000393,rice
81.0,45.0,35.0,26.645766624756895,80.45813984019695,6.192061521725399,218.99033734339437,rice
78.0,40.0,38.0,26.281885698155403,83.77975164059622,7.4496744911930985,248.08157830508623,rice
60.0,51.0,36.0,22.732053927015613,82.74680418348035,6.127688334621018,256.82848418538435,rice
88.0,46.0,42.0,22.799163560243983,83.49047648276239,6.582895638713084,194.1377414367528,rice
93.0,47.0,37.0,21.566937139093096,82.14700839846883,6.570354693067726,295.72998818727785,rice
60.0,55.0,45.0,21.47547739732023,83.22863709113656,5.871189075979017,287.64276792424005,rice
78.0,35.0,44.0,26.693307469060777,84.76961901308276,7.161490065335361,183.66318591733128,rice
65.0,37.0,40.0,23.436423922535663,83.6053805843029,5.442998883246822,188.35644277695667,rice
90.0,42.0,43.0,20.918377643957736,81.91290795887863,6.411258116764595,203.06943085299932,rice
85.0,58.0,41.0,21.923930337537318,80.26275884430504,7.14351290073501,226.5423767072471,rice
60.0,55.0,44.0,22.9514755099688,82.45205736671086,7.746018661234654,263.9468537348438,rice
74.0,35.0,40.0,26.42751640394522,80.08592305564612,6.9332085358935975,242.7019851337416,rice
78.0,42.0,42.0,20.176922523983368,81.61571456694833,7.353389939271255,262.66694000264755,rice
69.0,37.0,42.0,23.02363403400873,83.26802069371743,7.1241751763398,251.06847428515215,rice
69.0,55.0,38.0,22.62248335054803,82.68129838348774,5.789169893638931,271.37154827665233,rice
94.0,53.0,40.0,20.06895680758886,83.01788806521006,5.783880721773356,241.97001624442063,rice
89.0,54.0,38.0,24.636107080725356,83.3969707994912,6.7897257197471115,230.23591140970436,rice
68.0,58.0,38.0,23.169221382947104,83.00537539159637,6.349180843575137,221.29956406039494,rice
91.0,53.0,40.0,26.38062219178902,81.49639894883916,5.26527589271782,264.659454281008,rice
